,stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
199525,500526332,2015-06-16 08:00:00,The Donald Trump stock portfolio: 15 investments bullish on President Trump,https://www.thestreet.com/story/13640057/1/the-donald-trump-stock-portfolio-15-investments-bullish-on-president-trump.html,en,False,,21619,The Street,http://www.thestreet.com
199725,910092458,2015-09-24 18:14:23,President Xi slept here: how a trip to Iowa in 1985 changed U.S.-China relations,https://www.thestreet.com/story/13300612/1/president-xi-slept-here-how-a-trip-to-iowa-in-1985-changed-u-s-china-relations.html,en,False,,21619,The Street,http://www.thestreet.com
199746,905574737,2015-03-03 13:33:00,China Has a History of Selling Dangerous Products to U.S. Consumers,https://www.thestreet.com/story/13063992/1/china-has-a-history-of-selling-dangerous-products-to-us-consumers.html,en,True,,21619,The Street,http://www.thestreet.com
199943,668315139,2015-11-22 08:11:00,Political Advertising Spending Will Boost These Media Stocks,https://www.thestreet.com/story/13369734/1/political-advertising-spending-will-boost-these-media-stocks.html,en,False,"politics and government, finances, advertising and marketing, elections, television, advertising",21619,The Street,http://www.thestreet.com
200628,813213629,2015-12-03 13:08:44,Molina Healthcare Thriving Under Obamacare,https://www.thestreet.com/story/13384697/1/molina-healthcare-thriving-under-obamacare.html,en,False,,21619,The Street,http://www.thestreet.com
200905,587562796,2015-02-26 02:15:00,Dodd-Frank's Unintended Consequences - Wall Street Reaps Benefits of D.C. Regulation,https://www.thestreet.com/story/13048752/1/dodd-franks-unintended-consequences--wall-street-reaps-benefits-of-dc-regulation.html,en,False,,21619,The Street,http://www.thestreet.com
201534,542711294,2015-08-06 12:44:00,Donald Trump and the Great Republican Party Debate -- Live Blog,https://www.thestreet.com/story/13245664/1/donald-trump-and-the-great-republican-party-debate--live-blog.html,en,False,,21619,The Street,http://www.thestreet.com
202038,484831603,2015-09-15 07:12:00,The Backstory on Donald Trump's Four Bankruptcies,https://www.thestreet.com/story/13286068/1/the-backstory-on-donald-trump-s-four-bankruptcies.html,en,True,,21619,The Street,http://www.thestreet.com
202211,606324317,2015-07-13 00:00:00,Will the Fed backtrack on interest rate increases this year?,https://www.thestreet.com/story/13467395/1/will-the-fed-backtrack-on-interest-rate-increases-this-year.html,en,False,,21619,The Street,http://www.thestreet.com
202402,963422518,2015-06-12 14:40:19,11 CEOs Who Make Less Money Than You Do,https://www.thestreet.com/story/13111869/1/10-super-rich-ceos-who-only-make-one-dollar-in-salary.html,en,False,,21619,The Street,http://www.thestreet.com
